GENESIS-Tabelle: 41253-0005
Erntemenge an Weinmost, Weinmostertrag je Hektar, Rebfläche;;;;;;;;;;
im Ertrag: Bundesländer, Jahre, Weinmostsorte;;;;;;;;;;
Erhebung der Weinernte;;;;;;;;;;
;;Weißmost;Weißmost;Weißmost;Rotmost;Rotmost;Rotmost;Insgesamt;Insgesamt;Insgesamt
;;Erntemenge an Weinmost;Weinmostertrag je Hektar;Rebfläche im Ertrag;Erntemenge an Weinmost;Weinmostertrag je Hektar;Rebfläche im Ertrag;Erntemenge an Weinmost;Weinmostertrag je Hektar;Rebfläche im Ertrag
;;hl;hl;ha;hl;hl;ha;hl;hl;ha
Sachsen-Anhalt;2007;34688;71,1;488;14660;83,4;176;49347;74,4;664
Sachsen-Anhalt;2008;39241;79,2;495;15351;86,3;178;54592;81,1;673
Sachsen-Anhalt;2009;17012;33,6;506;8304;45,8;181;25315;36,9;687
Sachsen-Anhalt;2010;22100;43,0;514;9999;53,6;187;32099;45,8;700
Sachsen-Anhalt;2011;38207;70,3;543;17505;91,2;192;55712;75,7;736
Sachsen-Anhalt;2012;19232;34,3;560;7456;38,5;194;26688;35,4;754
Sachsen-Anhalt;2013;30296;54,1;560;13436;69,2;194;43732;58,0;754
Sachsen-Anhalt;2014;31008;54,4;570;11594;60,0;193;42601;55,8;763
Sachsen-Anhalt;2015;37860;66,2;572;15780;80,9;195;53640;69,9;767
Sachsen-Anhalt;2016;41673;73,3;568;13958;72,5;192;55632;73,1;761
Sachsen-Anhalt;2017;41208;72,3;570;15407;79,5;194;56615;74,1;764
Sachsen-Anhalt;2018;35148;61,2;574;12351;63,0;196;47499;61,7;770
Schleswig-Holstein;1993;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;1994;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;1995;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;1996;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;1997;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;1998;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;1999;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;2000;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;2001;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;2002;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;2003;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;2004;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;2005;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;2006;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;2007;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;2008;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;2009;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;2010;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;2011;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;2012;.;.;6;.;.;3;87;9,1;10
