Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20200802;;;;;;;;;;;;;;;;;;
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland
1953;year;473,40;472,30;716,50;654,00;524,40;523,70;582,90;583,30;649,80;513,50;695,50;541,00;580,30;455,70;487,80;528,20;591,80
1954;year;653,30;652,20;997,10;1044,10;794,10;670,30;875,60;876,10;984,20;798,20;949,70;923,40;899,20;651,00;691,70;742,80;877,10
1955;year;595,50;596,00;951,60;958,30;744,10;618,40;726,40;726,30;788,80;712,50;697,90;824,40;800,60;649,60;689,30;739,20;783,60
1956;year;664,70;664,20;979,50;972,70;870,60;628,00;795,40;793,20;973,50;798,50;710,60;875,80;844,50;694,50;751,90;824,00;844,10
1957;year;548,20;548,50;879,20;916,20;784,90;570,20;794,10;793,00;946,80;739,70;796,60;883,90;765,40;567,60;614,00;672,50;783,60
1958;year;595,90;595,10;1096,70;1034,90;911,50;633,50;827,40;826,70;1000,70;891,20;773,00;1181,30;815,70;626,80;704,80;803,00;876,10
1959;year;459,80;458,70;748,90;743,90;492,30;428,10;403,80;404,20;501,30;542,70;478,20;685,60;556,70;383,20;426,70;481,50;551,10
1960;year;600,00;600,10;970,20;933,20;905,80;752,40;844,00;843,80;1024,70;829,20;901,60;1055,10;745,10;590,80;664,30;756,70;849,00
1961;year;658,30;657,20;946,70;914,30;945,80;652,30;940,00;938,60;1055,60;842,10;812,30;1028,90;726,30;685,10;734,20;796,00;862,10
1962;year;495,80;495,30;828,60;816,30;694,40;568,80;717,70;717,20;828,70;667,40;789,70;786,70;557,90;472,40;512,00;561,80;701,20
1963;year;432,50;432,80;871,90;797,90;651,30;528,50;625,10;625,70;696,60;627,50;716,20;842,60;545,30;420,30;496,20;591,70;658,70
1964;year;502,40;501,90;779,20;804,90;560,80;501,10;581,10;581,50;647,50;596,20;632,20;692,90;573,60;440,90;463,50;492,00;631,10
1965;year;636,10;636,20;1312,20;1190,70;1074,30;679,90;885,80;885,60;1133,00;1053,50;940,10;1274,40;864,90;654,40;747,60;864,90;989,40
1966;year;660,50;659,00;1107,20;1179,80;1027,50;673,60;899,50;898,30;1138,20;984,20;927,60;1084,30;847,90;694,70;788,10;905,60;965,10
1967;year;653,90;654,70;931,50;919,20;865,20;679,90;853,40;852,70;927,80;878,90;870,10;1094,60;800,90;623,20;668,40;725,20;836,80
1968;year;609,60;610,00;1141,90;968,20;869,90;690,50;756,90;757,50;904,00;918,90;809,10;1028,10;750,30;561,20;632,80;722,90;842,30
1969;year;532,30;531,80;957,60;803,00;741,60;544,70;684,70;684,40;782,40;749,90;718,10;867,70;633,00;545,30;626,60;728,80;724,60
1970;year;606,60;607,00;1108,30;1110,80;885,50;694,80;856,80;856,80;1020,20;896,20;850,70;1086,20;852,80;712,10;767,50;837,10;913,50
1971;year;444,80;444,80;701,80;741,30;591,00;446,20;554,00;553,90;642,90;579,20;597,70;661,10;615,90;444,10;486,00;538,70;601,30
1972;year;498,60;498,00;809,60;739,10;688,90;543,50;634,50;634,40;720,90;660,70;646,20;740,80;546,80;518,00;577,90;653,30;660,00
1973;year;516,10;515,30;917,10;850,70;623,10;541,70;677,60;678,30;734,30;633,50;770,40;734,70;661,70;459,60;527,50;612,80;702,20
1974;year;694,40;693,00;1019,10;1091,30;877,60;644,00;781,60;782,20;1003,60;855,30;824,30;956,90;926,60;618,50;707,30;819,00;885,40
1975;year;441,00;440,10;864,30;847,30;637,90;467,20;605,10;604,60;696,70;670,40;592,40;718,70;582,50;432,10;499,00;583,10;659,50
1976;year;400,40;400,90;771,90;747,30;511,70;494,00;575,20;575,10;627,50;561,90;542,20;601,60;522,10;389,80;438,00;498,60;592,00
1977;year;638,10;637,60;997,20;980,60;833,20;621,70;728,40;728,60;851,30;848,20;788,60;1008,40;802,10;664,20;733,60;820,80;825,50
1978;year;632,30;632,00;1085,80;965,00;694,30;623,80;747,60;748,90;819,40;797,10;806,20;989,70;758,30;535,30;583,60;644,30;802,30
1979;year;580,60;579,60;1016,50;1042,80;824,70;596,30;749,00;748,80;896,10;893,20;810,30;1101,90;702,60;564,20;627,00;705,90;827,70
1980;year;615,20;614,00;987,20;979,30;810,90;694,60;798,00;798,90;906,20;877,20;944,50;1081,50;798,20;574,90;645,20;733,70;839,90
1981;year;697,90;698,20;1169,10;1182,20;1084,50;743,10;936,80;936,00;1111,40;1034,20;875,70;1184,30;961,00;708,20;814,80;948,80;995,30
1982;year;396,30;396,40;1066,30;865,00;729,30;472,80;648,50;648,00;805,30;846,10;714,40;1015,30;463,70;370,20;429,70;504,40;705,70
1983;year;564,90;564,20;972,20;901,00;779,10;638,70;761,60;761,50;865,30;802,60;814,40;962,80;691,70;563,80;615,80;681,30;785,20
1984;year;546,70;546,20;988,80;912,40;946,50;594,00;787,90;786,70;1022,70;959,90;819,60;1094,90;647,50;573,00;671,70;796,00;825,70
1985;year;486,90;487,20;862,10;912,00;721,40;576,50;721,70;721,90;842,50;695,30;797,90;752,40;605,40;481,80;539,90;613,10;733,60
1986;year;631,20;630,20;1159,50;1000,70;864,10;620,70;783,40;782,20;969,80;887,40;828,70;1083,40;789,30;625,70;698,50;790,00;865,40
1987;year;646,00;644,80;1076,70;1051,20;915,10;643,60;824,40;823,80;987,10;920,40;837,00;1026,00;819,70;620,50;709,60;821,70;884,70
1988;year;521,60;520,30;1173,40;1095,30;838,00;591,00;822,60;822,30;982,30;908,70;904,40;1045,50;727,60;520,30;613,60;731,00;871,70
1989;year;425,40;425,50;807,70;866,50;742,70;466,40;641,60;642,50;763,50;764,40;702,40;870,00;611,30;428,10;519,00;633,30;688,40
1990;year;566,00;564,50;961,70;943,50;767,60;608,90;790,50;791,30;870,30;807,70;959,40;917,10;595,90;526,20;578,60;644,60;791,60
